Breed,Year,Count
Yorkshire Terrier,1934,67.0
Eskimo,1934,3.0
Afghan Hound,1935,12.0
Airedale Terrier,1935,729.0
Basset Hound,1935,50.0
Beagle,1935,4210.0
Bedlington Terrier,1935,49.0
Belgian Sheepdog,1935,8.0
Bloodhound,1935,71.0
Border Terrier,1935,49.0
Borzoi,1935,85.0
Boston Terrier,1935,10587.0
Bouvier des Flandres,1935,1.0
Boxer,1935,193.0
Briard,1935,4.0
Brittany,1935,7.0
Brussels Griffon,1935,94.0
Bull Terrier,1935,311.0
Bulldog,1935,1706.0
Bullmastiff,1935,8.0
Cairn Terrier,1935,562.0
Chihuahua,1935,428.0
Chow Chow,1935,3627.0
Collie,1935,1586.0
Dachshund-XX  (long-haired),1935,94.0
Daschund-XX (smooth),1935,1602.0
Daschund-XX (wire-haired),1935,68.0
Dachshund,1935,1764.0
Dalmatian,1935,190.0
Dandie Dinmont Terrier,1935,55.0
Doberman Pinscher,1935,1366.0
English Toy Spaniel (Blenheim and Prince Charles),1935,70.0
English Toy Spaniel (All),1935,70.0
Fox Terrier (Smooth),1935,464.0
Fox Terrier (Wire),1935,6951.0
Fox Terrier,1935,7415.0
American Foxhound,1935,11.0
English Foxhound,1935,1.0
French Bulldog,1935,212.0
German Shepherd,1935,830.0
Giant Schnauzer,1935,29.0
Great Dane,1935,952.0
Great Pyrenees,1935,19.0
Greyhound,1935,1624.0
Harrier,1935,1.0
Irish Terrier,1935,920.0
Irish Wolfhound,1935,70.0
Italian Greyhound,1935,7.0
Japanese Chin,1935,121.0
Keeshond,1935,41.0
Kerry Blue Terrier,1935,270.0
Kuvasz,1935,10.0
Lakeland Terrier,1935,4.0
Maltese,1935,13.0
Manchester Terrier-XX,1935,13.0
Manchester Terrier (Toy),1935,337.0
Manchester Terrier,1935,350.0
Mastiff,1935,25.0
Miniature Pinscher,1935,122.0
Miniature Schnauzer,1935,276.0
Newfoundland,1935,193.0
Norwegian Elkhound,1935,150.0
Old English Sheepdog,1935,106.0
Papillon,1935,23.0
Pekingese,1935,4058.0
Pointer,1935,294.0
German Shorthaired Pointer,1935,38.0
Pomeranian,1935,1936.0
Poodle (miniature),1935,277.0
Poodle (toy),1935,10.0
Poodle,1935,287.0
Pug,1935,123.0
Chesapeake Bay Retriever,1935,178.0
Curly-Coated Retriever,1935,4.0
Flat-Coated Retriever,1935,2.0
Golden Retriever,1935,35.0
Labrador Retriever,1935,126.0
Rottweiler,1935,18.0
